sep=;
username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PeterMcCormack;2020-08-19 23:34;0;2;"Fair question. Just wanted to see if I am pitching the content right and based on the results it seems accurate.";;;;"1296214050859253761";https://twitter.com/PeterMcCormack/status/1296214050859253761
PeterMcCormack;2020-08-19 22:53;0;0;"#hero";;;#hero;"1296203613950418945";https://twitter.com/PeterMcCormack/status/1296203613950418945
PeterMcCormack;2020-08-19 22:47;0;3;"Reposted";;;;"1296202235534290946";https://twitter.com/PeterMcCormack/status/1296202235534290946
PeterMcCormack;2020-08-19 22:47;1;9;"5/ Thoughts on Bitcoin?";;;;"1296202180412702721";https://twitter.com/PeterMcCormack/status/1296202180412702721
PeterMcCormack;2020-08-19 22:47;1;6;"4/ How are you with privacy?";;;;"1296202178709860353";https://twitter.com/PeterMcCormack/status/1296202178709860353
PeterMcCormack;2020-08-19 22:47;1;4;"3/ How much do you care about privacy?";;;;"1296202176994435080";https://twitter.com/PeterMcCormack/status/1296202176994435080
PeterMcCormack;2020-08-19 22:47;1;4;"2/ How much do you care about the technicals?";;;;"1296202175312539649";https://twitter.com/PeterMcCormack/status/1296202175312539649
PeterMcCormack;2020-08-19 22:47;7;15;"Questionnaire. 1/ How technical are you?";;;;"1296202173668261890";https://twitter.com/PeterMcCormack/status/1296202173668261890
PeterMcCormack;2020-08-19 22:38;0;3;"grrrr";;;;"1296199817954308096";https://twitter.com/PeterMcCormack/status/1296199817954308096
PeterMcCormack;2020-08-19 22:29;0;2;"Plenty, just not my whole body";;;;"1296197589545766913";https://twitter.com/PeterMcCormack/status/1296197589545766913
PeterMcCormack;2020-08-19 22:16;0;0;"What a strange comment";;;;"1296194235633369089";https://twitter.com/PeterMcCormack/status/1296194235633369089
PeterMcCormack;2020-08-19 22:05;0;0;"Wrong. The clue is in the “pre” part of premine";;;;"1296191518710079488";https://twitter.com/PeterMcCormack/status/1296191518710079488
PeterMcCormack;2020-08-19 21:06;0;0;"Okay Mum";;;;"1296176689987440641";https://twitter.com/PeterMcCormack/status/1296176689987440641
PeterMcCormack;2020-08-19 20:55;0;0;"This isn’t personal finances";;;;"1296173863513055243";https://twitter.com/PeterMcCormack/status/1296173863513055243
PeterMcCormack;2020-08-19 19:46;0;0;"It will make you happy";;;;"1296156508653264899";https://twitter.com/PeterMcCormack/status/1296156508653264899
PeterMcCormack;2020-08-19 19:19;6;140;"Netflix: The Peanut Butter Falcon. Watch it, you won't regret it.";;;;"1296149864259244034";https://twitter.com/PeterMcCormack/status/1296149864259244034
PeterMcCormack;2020-08-19 18:15;0;0;"Nice one, cheers Nick";;;;"1296133755271249921";https://twitter.com/PeterMcCormack/status/1296133755271249921
PeterMcCormack;2020-08-19 18:13;0;23;"Fuck off John";;;;"1296133122296356864";https://twitter.com/PeterMcCormack/status/1296133122296356864
PeterMcCormack;2020-08-19 17:53;0;0;"Tomorrow, I just heard the final cut and cried.";;;;"1296128253405597696";https://twitter.com/PeterMcCormack/status/1296128253405597696
PeterMcCormack;2020-08-19 17:52;0;8;"You're still listening, still buying me a Lambo";;;;"1296127857849176064";https://twitter.com/PeterMcCormack/status/1296127857849176064
PeterMcCormack;2020-08-19 17:50;0;13;"Want to hear this";;;;"1296127530668261376";https://twitter.com/PeterMcCormack/status/1296127530668261376
